# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
malmito_rna_10	malmito_rna_10	malmito_rna_10:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_15	malmito_rna_15	malmito_rna_15:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_16	malmito_rna_16	malmito_rna_16:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_17	malmito_rna_17	malmito_rna_17:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_20	malmito_rna_20	malmito_rna_20:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_21	malmito_rna_21	malmito_rna_21:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_23	malmito_rna_23	malmito_rna_23.1	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_24	malmito_rna_24	malmito_rna_24.1	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_25	malmito_rna_25	malmito_rna_25.1	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_26	malmito_rna_26	malmito_rna_26.1	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_27	malmito_rna_27	malmito_rna_27.1	rRNA	0	0	7	0	0	0	0	1	0	0	0	6
malmito_rna_9	malmito_rna_9	malmito_rna_9:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_LSUC	malmito_rna_LSUC	malmito_rna_LSUC:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_LSUF	malmito_rna_LSUF	malmito_rna_LSUF:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_LSUG	malmito_rna_LSUG	malmito_rna_LSUG:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA11	malmito_rna_RNA11	malmito_rna_RNA11:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_RNA12	malmito_rna_RNA12	malmito_rna_RNA12:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA14	malmito_rna_RNA14	malmito_rna_RNA14:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_RNA18	malmito_rna_RNA18	malmito_rna_RNA18:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA22	malmito_rna_RNA22	malmito_rna_RNA22:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_RNA4	malmito_rna_RNA4	malmito_rna_RNA4:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA5	malmito_rna_RNA5	malmito_rna_RNA5:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA6	malmito_rna_RNA6	malmito_rna_RNA6:rRNA	rRNA	0	0	7	0	0	0	0	0	0	0	0	7
malmito_rna_RNA7	malmito_rna_RNA7	malmito_rna_RNA7:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
malmito_rna_SSUF	malmito_rna_SSUF	malmito_rna_SSUF:rRNA	rRNA	0	0	7	0	0	0	0	7	0	0	0	0
